TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),percent,penalized_log2FC,odds_ratio,fisher_p_value,fisher_adj_pvalue,chi2_p_value,chi2_adj_pvalue
NRF1,12367,3239,2.324069254,0.608689279,3.818153751,1.932875199,1.932875199,2.932758533,5.668656234,3.8181537511577646,0.0,0.0,0.0,0.0
ARID5A,11068,2392,2.079954597,0.449516751,4.627090301,2.210105254,2.210105254,2.529471348,5.590397917,4.627090301003345,0.0,0.0,0.0,0.0
ZFHX3,11854,3004,2.227663697,0.564526889,3.946071904,1.980417245,1.980417245,2.792190586,5.529702387,3.9460719041278294,0.0,0.0,0.0,0.0
POU5F1B,9035,1332,1.697902944,0.250316184,6.783033033,2.761930519,2.761930519,1.948219128,5.380845867,6.783033033033033,0.0,0.0,0.0,0.0
RUNX1,27373,17618,5.14407275,3.31086376,1.553695085,0.6357034,0.6357034,8.45493651,5.374831886,1.5536950845725963,3.768662156674767e-235,1.37556168718629e-232,1.2826812148188622e-234,4.681786434088847e-232
LHX2,9914,1950,1.863089075,0.366453873,5.084102564,2.345993135,2.345993135,2.229542947,5.230492449,5.084102564102564,0.0,0.0,0.0,0.0
CREB3L2,4738,87,0.890388949,0.01634948,54.45977011,5.767118987,5.767118987,0.906738429,5.22926841,54.45977011494253,0.0,0.0,0.0,0.0
NR4A3,14017,5131,2.634145608,0.964243498,2.731826155,1.449865678,1.449865678,3.598389106,5.21718086,2.7318261547456637,0.0,0.0,0.0,0.0
CENPBD1,5464,207,1.026822544,0.038900488,26.39613527,4.722254811,4.722254811,1.065723032,5.032615716,26.396135265700483,0.0,0.0,0.0,0.0
DBP,5367,202,1.008593813,0.037960863,26.56930693,4.73168869,4.73168869,1.046554676,4.951970923,26.56930693069307,0.0,0.0,0.0,0.0
MYBL2,7046,679,1.324119994,0.127601118,10.37702504,3.375320995,3.375320995,1.451721112,4.900024748,10.377025036818852,0.0,0.0,0.0,0.0
RUNX2,17496,9048,3.287936902,1.70034597,1.933687003,0.951354291,0.951354291,4.988282872,4.745624316,1.93368700265252,3.308145259812575e-303,1.20747301983159e-300,9.290354049985269e-302,3.390979228244623e-299
GCM1,14688,6826,2.760243325,1.28277648,2.151772634,1.105525644,1.105525644,4.043019805,4.469662075,2.1517726340462935,0.0,0.0,0.0,0.0
HESX1,15848,7926,2.978236398,1.489494049,1.999495332,0.999635913,0.999635913,4.467730448,4.466103805,1.9994953318193287,1.27984186446139e-298,4.671422805284073e-296,4.90588656322576e-297,1.7906485955774024e-294
NAIF1,7070,912,1.328630195,0.171387657,7.752192982,2.954604486,2.954604486,1.500017853,4.431959477,7.75219298245614,0.0,0.0,0.0,0.0
MITF,9740,2636,1.830390114,0.495370466,3.694992413,1.885571402,1.885571402,2.32576058,4.385387637,3.694992412746586,0.0,0.0,0.0,0.0
DBX1,4667,168,0.877046269,0.031571411,27.7797619,4.795962329,4.795962329,0.90861768,4.357696163,27.779761904761905,0.0,0.0,0.0,0.0
ATF3,19395,11862,3.644806597,2.229167097,1.635053111,0.709337499,0.709337499,5.873973694,4.166629809,1.6350531107739,8.583677659980663e-203,3.133042345892942e-200,3.2309834635431196e-202,1.1793089641932387e-199
CRX,30914,23285,5.809515398,4.375835092,1.327635817,0.408859456,0.408859456,10.18535049,4.164376862,1.3276358170496028,1.9700170638905973e-119,7.19056228320068e-117,2.656961731407476e-119,9.697910319637288e-117
ARID3B,6357,806,1.194639626,0.151467601,7.887096774,2.979494345,2.979494345,1.346107226,4.010718868,7.887096774193548,0.0,0.0,0.0,0.0
HOXB7,4918,383,0.92421546,0.071975299,12.84073107,3.682655438,3.682655438,0.996190759,3.668627315,12.840731070496084,0.0,0.0,0.0,0.0
ESR1,17253,11178,3.242271112,2.100626354,1.543478261,0.626185163,0.626185163,5.342897466,3.345643123,1.5434782608695652,4.872484165639317e-145,1.7784567204583505e-142,1.0531051418935797e-144,3.8438337679115655e-142
FOXN1,6745,1609,1.26755455,0.302371426,4.192044748,2.067654117,2.067654117,1.569925976,3.246063908,4.192044748290864,0.0,0.0,0.0,0.0
DNAJC21,4576,460,0.859945088,0.086445529,9.947826087,3.314381286,3.314381286,0.946390617,3.136699351,9.947826086956521,0.0,0.0,0.0,0.0
SCRT2,3649,193,0.685738555,0.036269537,18.90673575,4.240828398,4.240828398,0.722008092,3.061912421,18.906735751295336,0.0,0.0,0.0,0.0
POU5F1,3415,145,0.64176409,0.027249134,23.55172414,4.557760773,4.557760773,0.669013224,3.04920223,23.551724137931036,0.0,0.0,0.0,0.0
POU6F1,6175,1485,1.160437264,0.279068719,4.158249158,2.055976206,2.055976206,1.439505983,2.959590048,4.158249158249158,0.0,0.0,0.0,0.0
MLXIP,4265,429,0.801500394,0.080619852,9.941724942,3.313496189,3.313496189,0.882120246,2.922902072,9.941724941724942,0.0,0.0,0.0,0.0
HLF,2763,61,0.519236949,0.011463429,45.29508197,5.501282509,5.501282509,0.530700378,2.919532707,45.295081967213115,0.0,0.0,0.0,0.0
XBP1,5201,898,0.977398253,0.168756707,5.791759465,2.534001688,2.534001688,1.146154959,2.904358601,5.791759465478842,0.0,0.0,0.0,0.0
ST18,15397,10208,2.893482195,1.918339043,1.508326803,0.592949045,0.592949045,4.811821238,2.853164807,1.508326802507837,1.0390835883104358e-117,3.7926550973330907e-115,1.8587428822697264e-117,6.784411520284501e-115
IRF2,18422,13656,3.461955511,2.56630466,1.349004101,0.431894734,0.431894734,6.028260171,2.603573822,1.34900410076157,2.033250055991731e-79,7.421362704369819e-77,2.406159271947394e-79,8.782481342607988e-77
CREBZF,2285,39,0.429408769,0.007329077,58.58974359,5.872576231,5.872576231,0.436737846,2.564776296,58.58974358974359,0.0,0.0,2.563621728280776e-309,9.357219308224831e-307
